Ringnr|NestID|Location|Total_time|perch1|perch2|perch3|perch4|perch5|5perches|Bottom|Middle|Top|T_new|T_home|ground|latency|Explored|move_home|movement|Mov_sum
7894357|20KR49||600.242|0|0|12.401|43.205|46.043|NA|7.689|287.307|305.198|101.655|498.587|0|600.242|y|106|8|114
8412996||Kodderviken|600.453|12.708|6.452|92.355|0|14.365|NA|0|165.069|435.373|125.887|474.566|0|457.138|y|45|9|54
15582308|21JJ2||600|0|0|0|0|0|NA|0|2.999|596.989|0|600|0|600|n|55|0|55
358903H||Nuotalahti|601.111|72.2|102.361|46.94|227.015|marras.25|295.953|36.348|32.228|530.384|497.141|103.97|32.455|1.903|y|8|44|52
493777H|ESP18K11||600.481|102.337|187.282|50.699|96.605|13.54|37.979|53.397|354.038|184.739|450.603|149.878|1.126|1.599|y|44|172|216
493777H|||600.868|114.53|89.288|105.067|70.604|57.532|75.174|0|295.333|285.554|497.818|103.05|0|4.622|y|39|242|281
596153H|ESP18K9||600.592|31.014|2.886|66.892|0|21.035|NA|158.37|148.72|283.777|152.467|448.125|22.121|360.064|y|85|51|136
596153H|20EK29||600.745|96.354|106.493|26.805|107.632|12.124|51.897|6.447|383.453|209.607|348.793|251.952|0|1.453|y|163|240|403
603725H||Uto-Salo|600.643|273.752|191.83|104.135|22.471|0|NA|helmi.89|229.46|366.98|599.067|1.576|0|1.288|y|0|91|91
649857H|||600.083|0|15.41|0|341.875|36.815|NA|440.935|159.138|0|394.112|205.971|0|92.878|y|15|23|38
864684V|19LK3||600.522|0|0|0|0|0|NA|2.802|12.044|585.667|0|600.522|1.826|600.522|n|70|0|70
912085V||Matask?sviken|600.977|128.881|147.387|134.963|99.047|syys.46|157.751|49.212|63.594|479.762|553.101|47.876|41.3|13.949|y|13|115|128
998229H|ESP18K5||600.832|220.809|4.368|191.385|0|6.101|NA|138.394|367.518|90.002|595.959|4.873|41.254|4.872|y|1|149|150
CB86701_EST||Estonia|600.482|55.33|57.233|helmi.99|18.209|11.106|201.975|2.314|547.127|51.041|220.184|380.298|0|4.038|y|2|53|55
CB86702_EST||Estonia|599.381|21.662|0|287.635|24.984|9.957|NA|1.371|211.774|386.236|384.576|214.805|0|135.814|y|76|68|144
CB86703_EST||Estonia|600.614|8.404|6.253|44.914|54.621|72.602|45.045|0|110.617|489.997|186.825|413.789|0|9.796|y|42|52|94
CB86704_EST||Estonia|600.287|0|0|0|0|0|NA|0|6.669|593.618|0|600.287|0|600.287|n|4|0|4
CB86705_EST||Estonia|170.951|47.658|0.667|46.16|5.549|5.988|72.258|4.356|35.447|131.148|111.744|59.207|1.921|heinä.99|y|6|17|23
CB86707_EST||Estonia|599.83|5.945|0|153.697|61.294|93.51|NA|188.157|242.636|169.037|449.648|150.182|0|10.391|y|5|28|33
CB86708_EST||Estonia|593.109|0|0|0|0|0|NA|64.421|163.089|365.599|0|593.109|9.227|593.109|n|105|0|105
CB86709_EST||Estonia|600.512|0|0|0|0|0|NA|0|13.846|586.666|0|600.512|0|600.512|n|31|0|31
CB86710_EST||Estonia|600.901|0|0|0|0|0|NA|0|58.864|542.037|0|600.901|0|600.901|n|6|0|6
CB86711_EST||Estonia|600.402|0|0|0|0|0|NA|0|83.714|516.688|0|600.402|0|600.402|n|1|0|1
CB86712_EST||Estonia|600.047|0|0|0|0|0|NA|0|171.975|428.072|0|600.047|0|600.047|n|1|0|1
HA70201|POR18001||600.454|476.948|88.607|13.684|0.826|7.tammi|118.992|0|0|597.834|587.087|13.367|0|1.788|y|3|13|16
HA70202||Bjurvik|600.404|116.046|13.399|89.087|90.67|0|NA|68.801|277.208|244.553|531.083|69.321|63.633|61.379|y|5|162|167
HA70203||Bjurvik|600.336|0|13.916|0|9.445|0|NA|10.117|3.567|586.647|26.337|573.999|2.174|0.791|y|2|4|6
HA70204|POR18E4||600.366|0|0|0|0|0|NA|0|0|600.366|0|600.366|0|600.366|n|0|0|0
HA70204|19EK9||600.173|0|0|0|0|0|NA|0|0|600.173|0|600.172|0|600.173|n|0|0|0
HA70205|TAI18K2||601.044|0|0|0|0|0|NA|228.135|355.362|17.477|0|601.044|0|601.044|n|69|0|69
HA70206|TAI18K2||600.347|0|0|0|0|0|NA|130.678|226.863|237.095|0|600.347|42.837|600.347|n|130|0|130
HA70208|POR18001||600.329|18.863|0|456.126|20.224|4.633|NA|0|202.382|395.023|568.955|31.374|0|2.107|y|1|93|94
HA70211||Storminnet|600.453|0|0|0|0|0|NA|271.051|206.418|107.382|0|600.453|0|600.453|n|135|0|135
HA70212|POR18E9||600.643|13.514|22.806|0|100.081|0|NA|26.603|221.754|touko.14|142.549|458.094|0|tammi.83|y|19|7|26
HA70213|HEL18K2||600.373|0|0|0|0|0|NA|18.941|378.447|200.789|0|600.373|0|600.373|n|30|0|30
HA70214|TAI18K1||600.167|0|0|0|0|0|NA|12.299|110.975|475.778|0|600.167|0|600.167|n|161|0|161
HA70215|POR18E5||600.718|136.237|44.29|112.384|30.14|5.146|40.007|1.601|37.416|559.373|360.115|240.603|0|3.662|y|106|141|247
HA70216|POR18E5||600.366|216.659|177.759|24.954|81.392|0.64|434.781|51.413|78.78|468.729|533.318|67.048|27.507|0.606|y|20|256|276
HA70217|TAI18E1||596.089|0|0|0|0|0|NA|225.259|295.138|64.298|0|596.089|0|596.089|n|200|0|200
HA70218|TAI18K1||590.332|0|0|0|0|0|NA|0|0|590.332|0|590.332|0|590.332|n|0|0|0
HA70219||Rantalanlahti|606.625|58.297|161.212|152.211|198.6|10.173|376.026|6.461|556.082|44.061|582.636|23.989|0|1.131|y|5|88|93
